name,time_delta
Abagail,3 days 22:22:09.153000
Abram,0 days 03:53:50.386000
Ariana,0 days 16:26:26.389000
Ashanti,0 days 01:47:07.432000
Augustus,0 days 03:04:14.154000
Benjamin,0 days 02:10:38.056000
Dashawn,0 days 05:22:57.916000
Easton,0 days 06:01:26.395000
Edward,1 days 19:39:40.461000
Haven,0 days 02:37:31.400000
Iliana,0 days 13:01:35.965000
Jagger,0 days 00:33:25.929000
Jamal,0 days 10:47:07.408000
Jamya,0 days 21:41:12.233000
Jasmin,0 days 03:26:43.771000
Joaquin,0 days 00:25:56.344000
Josephine,0 days 02:32:33.301000
Kathy,0 days 15:02:46.388000
Konner,0 days 04:35:00.247000
Lincoln,0 days 00:29:47.027000
Marlon,0 days 04:16:21.817000
Melina,0 days 02:35:39.298000
Muhammad,0 days 01:50:00.950000
Omar,0 days 08:19:37.648000
Preston,0 days 05:10:37.586000
Ronin,0 days 00:02:54.808000
Sean,0 days 05:02:42.131000
Tamia,0 days 00:24:42.379000
Vance,0 days 01:22:39.145000
Waylon,0 days 01:24:43.624000
